SOLUCION [10.0, 0.0]
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g18m int#1;17.0;27.0;5.0;24.0;17.0;27.0;5.0;24.0;65.7061881225;24.6779405976
g28m int#2;16.0;24.0;6.0;27.0;16.0;24.0;6.0;27.0;65.7061881225;24.6779405976
g38m int#3;16.0;25.0;6.0;26.0;16.0;25.0;6.0;26.0;65.7061881225;24.6779405976
X18m int#1;0.7144920157421731;0.3744730304569554;0.7595189881278814;0.7200288130099719;0.4194801840588983;0.6375846008991612;0.8894464787655935;0.6140849273079843
X28m int#2;0.606250951850609;0.500468059461816;0.5989038616062143;0.6033956337953842;0.5282944574679818;0.5734529847999976;0.6985149377617936;0.5138852881197774
X38m int#3;0.49604459818469293;0.5879182677467227;0.6069469919790252;0.6317211089121669;0.648709399684004;0.4505266152123633;0.702227151780014;0.6317211089121669
S18m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S28m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S38m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q18m int#1;327.1999999999999;767.7000000000003;102.30000000000003;480.50000000000006;192.1;1307.0999999999997;119.80000000000004;409.7999999999999
q28m int#2;261.29999999999995;912.0000000000002;96.79999999999995;453.0000000000001;227.6999999999999;1045.0000000000002;112.89999999999998;385.8
q38m int#3;213.80000000000007;1116.0;98.09999999999997;456.7000000000001;279.5999999999999;855.2000000000003;113.5;456.7000000000001
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g19m int#1;17.0;27.0;5.0;24.0;17.0;27.0;5.0;24.0;67.68435456;26.5769803776
g29m int#2;16.0;24.0;6.0;27.0;16.0;24.0;6.0;27.0;67.68435456;26.5769803776
g39m int#3;16.0;25.0;6.0;26.0;16.0;25.0;6.0;26.0;67.68435456;26.5769803776
X19m int#1;0.7733426752319039;0.40036891318981777;0.8122122547200001;0.7810683134318556;0.44852975404665996;0.6900937065447984;0.9651712480759327;0.6563443614055827
X29m int#2;0.6553336871593218;0.5341895090799761;0.6386037972610167;0.6531199248020436;0.5635582911457625;0.6201120544558029;0.7558723588338981;0.5477425923970078
X39m int#3;0.5358344736000002;0.6267823573205052;0.6462517469288134;0.6822295685092841;0.6916614480813559;0.48666529700868333;0.7584216753898305;0.6822295685092841
S19m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S29m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S39m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q19m int#1;343.79999999999984;796.8000000000003;106.20000000000002;506.00000000000006;199.39999999999998;1373.3999999999996;126.20000000000005;425.1999999999999
q29m int#2;274.19999999999993;945.0000000000002;100.19999999999995;476.0000000000001;235.7999999999999;1097.0000000000002;118.59999999999998;399.2
q39m int#3;224.20000000000007;1155.0;101.39999999999996;478.8000000000001;289.3999999999999;896.8000000000003;119.0;478.8000000000001
""
""
""
""
""
SOLUCION [10.0, 0.0]
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g11m int#1;11.0;17.0;5.0;16.0;11.0;17.0;5.0;16.0;65.0;24.0
g21m int#2;10.0;17.0;5.0;17.0;10.0;17.0;5.0;17.0;65.0;24.0
g31m int#3;11.0;17.0;5.0;16.0;11.0;17.0;5.0;16.0;65.0;24.0
X11m int#1;0.704417051874679;0.4322450567719571;0.5508474576271186;0.6715243568691844;0.4707241910631741;0.6460684093240423;0.5508474576271186;0.6715243568691844
X21m int#2;0.6279661016949152;0.5219129142937993;0.5361581920903954;0.6110950127177307;0.6279661016949152;0.5219129142937993;0.5361581920903954;0.6110950127177307
